id,brand_intl_name,brand_name,checkin_count,f1,f2,f3,f4,f5,f6,flavour_tags,intl_name,name,pictures,rank,score,similar_brands,year_month
3373,Tochigi,栃木県,1672,0.5361637473106384,0.40104302763938904,0.15097343921661377,0.16377641260623932,0.22302614152431488,0.6725596785545349,酸味|レモン|さわやか|柑橘|グレープフルーツ|ガス|軽快|さっぱり|甘酸っぱい|スッキリ|フルーティ|苦味|ゴクゴク|甘味|ジュース|リンゴ|ジューシー|ラムネ|爽快|スイスイ,かぶとむし,かぶとむし,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2upheQ5cpN3sSO|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/EIohdd8QrC0eu|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/22VGz3lhQMO0u5,8,4.006619453430176,文楽|飛良泉|海風土|Type-FY2|富久長,202512
259,Tochigi,栃木県,1343,0.3037509322166443,0.5868558883666992,0.37350526452064514,0.4436558783054352,0.3185904324054718,0.35425829887390137,酸味|旨味|辛口|メロン|セメダイン|熱燗|スッキリ|バナナ|しっかり|常温|甘味|軽快|味噌|さわやか|フルーティ|苦味|コク|冷酒|燗酒|余韻,Sohomare,惣誉,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1FzREzpJIYcetA|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2RzYaWBqoGpyeD|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/41IHzlS1KEN8j,9,4.006618976593018,龍勢|酒屋八兵衛|末廣|九頭龍|浦霞,202512
254,Tochigi,栃木県,696,0.28102803230285645,0.4682139754295349,0.4211243689060211,0.429281622171402,0.4358642101287842,0.3875472843647003,辛口|ハチミツ|旨味|スッキリ|甘味|しっかり|濃厚|苦味|さわやか|優しい|酸味|キレ|まろやか|軽快|華やか|フルーティ|穏やか|余韻|冷酒|芳醇,Tentaka,天鷹,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/17B4API3cLENNx|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/14CweB2PJhyxpf|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1Lkahi7o9qvGVq,10,4.006608963012695,男山|春鹿|鶴齢|日高見|乾坤一,202512
1711,Tochigi,栃木県,874,0.37835824489593506,0.4816221296787262,0.3475554287433624,0.3872346580028534,0.3014548122882843,0.5130932927131653,トロピカル|甘味|ガス|旨味|濃厚|ヨーグルト|さわやか|酸味|辛口|フレッシュ|スッキリ|苦味|フルーティ|華やか|なめらか|余韻|しっかり|軽快|さっぱり|ジュース,Azumarikishi,東力士,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1aPH59RBhoeuFZ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2aiINsxB6W0Ecj|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/8MCLG2ACbJAh,11,4.006605625152588,鳴門鯛|秀鳳|まんさくの花|萩乃露|御前酒,202512
250,Tochigi,栃木県,596,0.37778887152671814,0.5033897757530212,0.3366040289402008,0.4801095426082611,0.3014548122882843,0.41132938861846924,桜|旨味|辛口|しっかり|酸味|柔らかい|甘味|スッキリ|軽快|華やか|キレ|穏やか|余韻|チョコレート|苦味|さわやか|バナナ|花|まろやか|あっさり,Shikizakura,四季桜,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1pjHJ5Pb2d8HJr|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1anH7QIj5djAgB|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1ex5ER3qiqsZbH,12,4.006603717803955,賀茂鶴|あさ開|かたの桜|龍力|十石,202512
1166,Tochigi,栃木県,911,0.3804776668548584,0.5092803835868835,0.31362631916999817,0.45491907000541687,0.3312722146511078,0.42522481083869934,旨味|酸味|派手|苦味|辛口|甘味|フルーティ|メロン|バナナ|華やか|スッキリ|しっかり|さわやか|キレ|穏やか|リンゴ|ガス|清涼|柔らかい|余韻,Matsunokotobuki,松の寿,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/xraAgedHlukTA|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1WKA6B6hzZhUBw|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2oF6y9v9HyC57N,13,4.006603240966797,松の司|大那|会津娘|水尾|山形正宗,202512
3446,Tochigi,栃木県,928,0.3572274148464203,0.5645110607147217,0.39327386021614075,0.43227049708366394,0.253786563873291,0.38442957401275635,旨味|酸味|甘味|ガス|バランス|苦味|キレ|フレッシュ|フルーティ|辛口|綺麗|華やか|ジューシー|カルピス|余韻|スッキリ|ワイン|控えめ|しっかり|さわやか,旭興,旭興,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/s290MTRSVOEED|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/4HrqYv8WIipii|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1uk9vbkGjQdacp,14,4.0066022872924805,まんさくの花|山形正宗|東一|萩乃露|上川大雪,202512
249,Tochigi,栃木県,1012,0.42547616362571716,0.6047236919403076,0.2829744219779968,0.3004811704158783,0.2814452350139618,0.4513362646102905,バナナ|ジューシー|酸味|フルーティ|苦味|マスカット|旨味|キレ|甘味|辛口|ガス|桃|メロン|しっかり|フレッシュ|スッキリ|濃厚|複雑|余韻|さわやか,Wakagoma,若駒,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1IrMdhRDrlzkVI|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/25gKIuBcCQaDjc|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/IcdC2E0zVhMIV,15,4.006601333618164,若波|七水|天花|十六代九郎右衛門|冩楽,202512
8725,Tochigi,栃木県,389,0.4925660490989685,0.5378125309944153,0.31251686811447144,0.2738382816314697,0.23477153480052948,0.49026983976364136,ガス|酸味|フルーティ|燗酒|旨味|ワイン|いちご|甘味|リンゴ|バランス|ジュース|華やか|フレッシュ|ほのか|スッキリ|こってり|柑橘|コーヒー|さわやか|花,Sanran,燦爛,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1bpUAmkr7GK2NB|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/JuZKXikFXo8ay|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2ulw8aeWTpMk8t,16,4.006601333618164,五橋|不動|寒紅梅|醸し人九平次|陸奥八仙,202512
255,Tochigi,栃木県,718,0.44955289363861084,0.5128346085548401,0.3060360848903656,0.42581892013549805,0.26144835352897644,0.4376845955848694,フレッシュ|華やか|酸味|旨味|苦味|フルーティ|甘味|スッキリ|綺麗|桃|さわやか|辛口|しっかり|ほのか|味噌|ガス|桜|円やか|醤油|穏やか,Kaika,開華,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/KBdkxV1iBKrB1|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/rxCrcSmbR8fq0|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/yDefYnFWYEp4A,17,4.006600856781006,庭のうぐいす|南部美人|雅山流|田光|羽根屋,202512
